Name,Born,Died,Age,Title,Country
Franklin Roosevelt,1882-01-30,1945-04-12,63,President,United States
Joseph Stalin,1878-12-06,1953-03-05,74,Great Leader,Soviet Union
Adolph Hitler,1889-04-20,1945-04-30,56,Fuhrer,Germany
Michinomiya Hirohito,1901-04-29,1989-01-07,87,Emperor,Japan
Charles de Gaulle,1890-11-22,1970-11-09,79,President,France
Winston Churchill,1874-11-30,1965-01-24,90,Prime Minister,United Kingdom
Manuel Camacho,1897-04-24,1955-10-13,58,President,Mexico
Jan Smuts,1870-05-24,1950-09-11,80,Prime Minister,South Africa
Ibn Saud,1875-01-15,1953-11-09,78,King,Saudi Arabia
Plaek Phibunsongkhram,1897-07-14,1965-06-11,66,Prime Minister,Thailand
John Curtin,1885-01-08,1945-07-05,60,Prime Minister,Australia
Haile Selassie,1892-07-23,1975-08-27,83,Emperor,Ethiopia
